,label,post_origin,post_lang,merged_text
10,n,ukr,ru,"Ты – без рубашки, я – в ней, босая.. Мир – для двоих верх тормашками; Связь, если любишь всегда роковая, С красным вином, розами и ромашками. Капелькой страсти к тебе не колени, Сладко целуя, и соблазняя.. На стене сольются наши тени В свете свечей наготой мерцая. Голос чуть слышный, шелест дыхания, Мы раздразнили друг друга безбожно. От наслажденья теряя сознание. Остановиться уже не возможно.. Сильные руки удержат в ладонях. Хрупкое тело с атласной кожей, С рвущимся наружу стоном Двинешься к постели с обнажённой ношей.."
11,w,ukr,ru,"Все подробности о ходе войны - в текстовом онлайне РБК-Украина ↘ +фото и видео
62-й день войны России против Украины. Что происходит сейчас: онлайн"
12,n,ukr,ru,"Огурцы съедаю, рассолом запиваю — красота! В жаркий летний зной на даче регулярно так поступаю. И никакого уксуса, лимон — природный консервант... Не кислые, хрустящие, могут заменить обед и ужин в летнюю жару.
Как закрутить огурцы с рассолом на запивку"
13,w,ukr,ru,"""Специально в такой молниеносной скорости проведен этот суд, чтобы давить на мир с проведением переговоров с РФ"" (с)
МВД о ""смертных приговорах"" иностранным бойцам: Россия поднимает ставки в переговорах"
14,n,ukr,ru,"Российский актёр Владимир Вдовиченков не раз говорил о том, что обладает сложным и жестким характером.
Хочется детей, но все не получается: почему супруги Вдовиченков с Лядовой не стали родителями"
15,n,ukr,ru,Платье летнее для девочки
16,n,ukr,ru,"Германия ограничит использование газа для производства электроэнергии
Германия ограничит использование газа для производства электроэнергии"
17,n,ukr,ru,"Я до сих пор помню, как она сидела в белой ажурной кофточке рядом с холодильником, морщинистая и сгорбленная, оперев голову на пропитанную увлажняющим кремом руку, опустив плечи и пытаясь понять, как воспитывать такого своенравного и непослушного подростка.
Бабушка спасла мне жизнь, но, к сожалению, так и не увидела этого"
18,n,ukr,ru,Как отмечают День Независимости у «Чижовка-арены» Читать здесь: https://bit.ly/3yxOlyX
19,w,ukr,ru,"Главные заявления из брифинга Минобороны России: ✅Три батальона 10-й горно-штурмовой и 72-й механизированной бригад ВСУ за сутки потеряли более 50% личного состава в районах Верхнекаменки и Золотаревки. ✅В районе Артемовска ВКС России ударили по пункту временного размещения 1-го батальона 30-й механизированной бригады. Уничтожено до 120 украинских военнослужащих. Также ВКС поразили четыре взвода РСЗО, из которых ВСУ обстреливали ДНР. ✅Российская авиация поразила базу временного хранения вооружения и военной техники 10-й горно-штурмовой бригады ВСУ в тракторном заводе Харьков. Уничтожены до 30 человек личного состава. ✅ВС России уничтожили пять пунктов управления ВСУ, три склада с боеприпасами, а также живую силу и военную технику Украины в 32 районах. ✅Российская авиация, ракетные войска и артиллерия ударили по 39 пунктам управления ВСУ, двум складам боеприпасов в районе Николаева и живой силе и военной технике в 302 районах. ✅Средства ПВО сбили украинский МиГ-29 в Николаевской области, а также 19 беспилотников. Удалось перехватить четыре реактивных снаряда залпового огня в Ясиноватой, Минеральном и Чернобаевке."
20,n,ukr,ru,"Спасибо, жизнь, за радость и печаль. За то, что не была я слишком гордой. Что научила ты меня прощать. Спасибо, что порой бываешь строгой. Спасибо, жизнь, что я себя нашла, Когда моей души запели струны. И что во мне любовь всегда жива! И с нею в сердце я останусь юной… Спасибо, жизнь, за дружбу и врагов. Я на ошибках многому училась. Кто рядом был, и тех, кто не со мной, Но за которых я всегда молилась! Спасибо, жизнь, за тысячи минут Счастливых! Я во всём их находила. За облака, что по небу плывут… За радости, что ты мне приносила! Спасибо жизнь, что многое начать Мне предстоит. Познать и научиться. За то, что есть ещё, о чём мечтать! За то, что есть к чему стремиться…"
21,n,ukr,ru,"Перед вступлением в ЕС Зеленский решил ратифицировать Стамбульскую конвенцию Этот документ предписывает защищать женщин, а также граждан по признаку сексуальной ориентации и вводит понятие гендера (гендер - это то, кем себя считает индивидуум, независимо от его биологического пола). Ратификация конвенции - похоже, одно из условий предоставления статуса кандидата в члены ЕС."
22,n,ukr,ru,"Напомним, что украинский ведущий Дмитрий Гордон не является родственником российского ведущего Александра Гордона.
«Семеро наследников и юная супруга»: какая семья у Дмитрия Гордона"
23,n,ukr,ru,"1 июля министр национальной обороны Польши Мариуш Блащак подписал контракт на поставку в армию новых вертолетов AW149. Данные вертолеты производятся на заводе в Свиднике, входящем в группу Leonardo.
На вооружение польской армии поступят 32 многоцелевых вертолета AW149"
24,n,ukr,ru,"Сотрудники ФСБ России совместно с КГБ Белоруссии задержали троих сотрудников налоговых органов по подозрению в передаче данных о полицейских и военных, сообщается на сайте СКР. Возбуждены уголовные дела по ст. 290 «Получение взятки» и 291.1 «Посредничество во взяточничестве» УК РФ. По версии следствия, подозреваемые через посредника предоставляли информацию об источниках доходов физических лиц, счетах, открытых в кредитных организациях, адресах регистрации и имуществе и другую конфиденциальную информацию. Однако спустя некоторое время один из сотрудников уволился с занимаемой должности. Следственные действия прошли в Оренбургской, Ярославской и Псковской областях. Двоих фигурантов дела поместили под стражу, другие двое находятся под домашним арестом. Агентство ТАСС со ссылкой на данные ЦОС ФСБ России уточняет, что участники группы передавали заказчикам, в том числе в интересах иностранных граждан, сведения в отношении более чем 30 человек, включая военных и сотрудников правоохранительных органов."
25,n,ukr,ru,"Ой, напевно дуже гаряче... 😉
Ви тільки подивіться!! Горить, палає! В Aлтaї пожежa охопuлa вже понaд 2.300 гектaрів лісу -"
26,w,ukr,ru,Предприниматель из Николаевской области чудом выжил в плену у российских оккупантов! ___________________ FREEДОМ - UATV Channel https://dopomogaua.info/ua - головний сайт про допомогу під час війни
27,n,ukr,ru,Хлеб подорожал на 15%! Что влияет на стоимость?
28,w,ukr,ru,"«Сейчас выведем тебя в поле и расстреляем»: житель Мариуполя вспоминает допрос во время фильтрации. Россия на оккупированных территориях ищет «неблагонадежных» и врагов. Многих принуждают проходить фильтрацию. На основе свидетельств людей, которые это пережили, Радио Донбасс.Реалии составили общую картину: что же такое фильтрация, зачем она, как проходит и где?"
29,n,ukr,ru,"Зеленский заверил, что приложит все усилия для принятия решения о статусе кандидата в члены ЕС: «Для нас это важно». #uazmi #новости #политика Президент Украины Владимир Зеленский уверяет, что приложит все усилия, чтобы историческое решение о кандидатстве Украины в ЕС было принято.
Зеленский заверил, что приложит все усилия для принятия решения о с..."
30,w,ukr,ru,"🌾🚢Россияне вывезли 7 тысяч тонн украинского зерна из Бердянского порта: рассказываем, как это произошло ⬇️⬇️⬇️
Судно с краденным зерном из Бердянска прибыло в Турцию"
31,w,ukr,ru,"ПВО сбили три ракеты в Одесской области❗
До Одессы не долетели три российские ракеты: сбили ПВО"
32,n,ukr,ru,"Сходство необычайно! 😯
Китаянка решила превратить себя в Мону Лизу и результат обалденный"
33,n,ukr,ru,"Куда обращаться⬇⬇
Куда обращаться за продуктовыми наборами в Киеве: список адресов"
34,w,ukr,ru,"Така доля чекає кожного зрадника України!
На Херсонщині ліквідували екснардепа Олексія Ковальова, який перейшов на бік окупантів — Патріоти України"
35,w,ukr,ru,"Если вы пропустили: Как «Рамштайн-3» вооружит Украину — реакция на встречу антипутинской коалиции
Как ""Рамштайн-3"" вооружит Украину – реакция на встречу антипутинской коалиции - военная помощь Украине"
36,w,ukr,ru,Украина получит от США норвежские ЗРК NASAMS — CNN. https://myc.news/
37,n,ukr,ru,"До выборов никаких ЧС и карантинов не будет, а потом... Кто его знает (с)
Адвокат: до выборов правительство будет делать вид, что кривая COVID не растет | Mixnews"
38,n,ukr,ru,"Саммит Россия-Турция-Иран состоится в ближайшее время
Саммит Россия-Турция-Иран состоится в ближайшее время – МИД Ирана — Armenia Today"
39,n,ukr,ru,"А потом так — бац! И тебе полста. То спина болит, то скрипит бедро. И тебе важней покормить кота, чем махать мечом, насаждать добро... 🖤🖤🖤
Для хорошего настроения... замечательный стих Русудан Алмазовой - По коту!"
40,n,ukr,ru,"Токаев поздравил шахматистку из Казахстана, ставшую чемпионом мира
Токаев поздравил шахматистку из Казахстана, ставшую чемпионом мира"
41,n,ukr,ru,У Сумах створили патріотичну клумбу https://www.0542.ua/news/3416231/u-sumah-stvorili-patrioticnu-klumbu
42,n,ukr,ru,"Меня больше удивляют пользователи Сети, которые набросились на 80-летнюю женщину из-за ее политической позиции 😳
«Мне так грустно». Фанаты не оценили слова Брыльской в «поддержку» Украины"
43,w,ukr,ru,"В Германии начали конфисковывать недвижимость россиян
В Германии начали конфисковывать недвижимость россиян"
44,n,ukr,ru,"Пальминг – это упражнение на расслабление глаз. Оно является очень древним и принадлежит йогам. Упражнение «пальминг для глаз» следует выполнять каждый раз, когда вы ощущаете напряжение в глазах или когда просто о чем-либо мечтаете или воображаете.
Пальминг для глаз. Уже через 7 дней вы станете видеть намного лучше"
45,w,ukr,ru,Утренний прилёт по Николаеву в жилой дом 😣❤️‍🩹
46,w,ukr,ru,"Американские эксперты предупреждают о провокациях со стороны оккупантов ⬇️
Россия может попытаться подставить защитников Украины в битве за Херсон - ISW"
47,n,ukr,ru,"Актуально 👇
Де у Луцьку можна заправити машину: перелік АЗС"
48,w,ukr,ru,"63% жителей Германии опасаются втягивания ФРГ в войну в Украине, которая продолжается уже 79-й день.
Большинство немцев опасаются втягивания Германии в войну в Украине - опрос"
49,w,ukr,ru,"«Украина везде будет пытаться жалить как гадюка» *** #Украина #ВСУ #Змеиный *** ВСУ пытаются захватить остров Змеиный, чтобы Россия не мешала получать военные грузы из Румынии https://ruskline.ru/news_rl/2022/06/24/ukraina_vezde_budet_pytatsya_zhalit_kak_gadyuka"
50,w,ukr,ru,"Введение ограничений опротестовали также председатель совета директоров «Северстали» Алексей Мордашов и бывший член совета директоров Шереметьево Александр Пономаренко. Все три предпринимателя попали под санкции 28 февраля
Тимченко оспорил персональные санкции ЕС"
51,n,ukr,ru,"Эту интересную технику еще называют перуанским вязанием. Для выполнения узора нужна обыкновенная палочка (из любых материалов: металла, пластмассы, дерева), нити и крючок 🤗🤗
Брумстик — оригинальная техника вязания, пришедшая из Перу. Красивые изделия при помощи палочки для мороженого"
52,w,ukr,ru,"США остановили сделку с Украиной по продаже беспилотников MQ-1C Gray Eagle, — Reuters. По данным СМИ, в Америке опасаются, что радар и оборудование для наблюдения на этих дронах могут создать угрозу безопасности Штатов, если они попадут в руки россии."
53,w,ukr,ru,"Если вы пропустили: Новую информацию о пленных защитниках «Азовстали» раскрыл Ермак
Новую информацию о пленных защитниках «Азовстали» раскрыл Ермак — пленные защитники Азовстали"
54,n,ukr,ru,"Самый жестокий убийца и некрофил Словакии умер в тюрьме #Словакия, #серийный #убийца, #маньяк,#умер, #Ондрей #Риго https://ua-reporter.com/news/samyy-zhestokiy-ubiyca-i-nekrofil-slovakii-umer-v-tyurme"
55,w,ukr,ru,"Здравствуйте, Евгений Олегович! Многие высокопоставленные лица в Украине не раз говорили в своих выступлениях об опасностях, которые подстерегают жителей после деоккупации территорий. В частности, минные поля, ловушки/растяжки, подбитая техника и т.д. Выражалось также пожелание о создании мобильного приложения в этой связи, чтобы предупредить и обезопасить граждан, особенно детей. Я слышал, что подобные приложения уже разрабатываются, и хотел бы предложить свой вариант. Наша компания Ikrosh-Lab, работающая во Франции, разработала такое приложение. Сертфикат и ссылки в СМИ приложены к письму. Приложение бесплатное и без всякой рекламы – https://play.google.com/store/apps/details?id=com.ikroshlab.vectrum.ua Вот короткое видео, где показано в полевых условиях, как оно работает, а также некоторые рекомендации и комментарии – https://youtu.be/o9Xrl5RWEFM Очень надеемся, что наше приложение будет вам полезно. Конечно, там можно многое улучшить. Поэтому, пожалуйста, пишите свои пожелания, критику нам на почту: vadmin@ikroshlab.com"
56,w,ukr,ru,"У НАС НЕТ ВРЕМЕНИ НА РАССУЖДЕНИЕ И СТРАХ‼ Каждый день- борьба за выживание и хвостатые жизни. Мы выбрали свой путь, мы идем по нему. Приходим каждый день на работу, не смотря на страх и все происходящее вокруг. Тыла в нашем городе уже нет, ежедневно снаряды прилетают в самые оживленные места нашего города. Воды в приюте нет больше недели, содержать 800 собак без воды крайне сложно, но ничего...Хорошо что в 14-том мы купили огромные бочки, сейчас таких нет. Экстренные операции теперь проводятся в коридоре, там нет окон да и стены потолще. Работаем в дежурном режиме, но все так же работаем... Страшно? Да. Тяжело? Да. Но мы просим поддерживать нас. Добрым словом и по возможности финансово. Помощь очень нужна 🙏🏻 Связь с приютом : 0713166060 Юля ( с 10 до 17), на номере есть Вайбер, воцап, телеграм. Мы просим помощи! Сейчас в ПИФе 800 собак, много инвалидов и старичков, которые нуждаются в постоянном уходе. Нам очень нужна помощь! Наши реквизиты: Карта Приватбанка: 4149 4993 4185 1960 Афонина Вита Карта Сбербанка : 4276 3801 3492 7685 Васильева Ольга Валерьевна Яндекс Кошелек 410012979663160 QIWI: +7 999 652-16-01 ЦРБ 1005 6388 0567 6756 Васильева Виктория Игоревна 08/22"
57,n,ukr,ru,"Reuters: в ​​Европе не хватает российского газа на фоне жары и резкого сокращения поставок
Reuters: в ​​Европе не хватает российского газа на фоне жары и резкого сокращения поставок"
58,w,ukr,ru,"Глава МИД РФ Сергей Лавров заявил, что длительность конфликта в Украине зависит от поставок Западом вооружений: ""Нам представляется подобная линия, которую Запад занял, абсолютно контрпродуктивной и вредной. Чем больше будут накачивать Украину оружием, тем дольше продлится этот конфликт""."
59,n,ukr,ru,"Оцените, как вам мои старания?
Жена попросила просто облагородить дворовой туалет, а я сделал в нем евроремонт. Фото до и после"
60,n,ukr,ru,"Мы привыкли думать, что накопление жира – результат неправильного питания. Отчасти это правда, хотя несбалансированность рациона – далеко не единственный виновник появления лишних сантиметров на животе.
Кортизоловый живот: Как избавиться жира, накопленного из-за стресса"
61,n,ukr,ru,"Моё ты Солнышко скажу, Тепло твоё я получу. И мир светлее станет вмиг. Ведь свет несёшь ты в этот мир. Звезда моя ты в темноте, Ты светишь ночью только мне. Пусть даже ночь у нас темна, Твой свет увижу в небе я. Тебе скажу, что я люблю, Любовь твою я получу. Тепло подарит мне огонь, Что в сердце ты зажгла моём. Костер любви зажгла ты мне, Чтоб душу он мою согрел. Согреет душу мою так, Чтоб там цвести могла весна. Тебе я ласку подарю, В ответ её я получу. Не буду грубым на слова, Чтоб боль тебе не причинять. В поступках груб не буду я, Чтоб боль тебе не причинять. Любимым в жизни быть хочу. Свое тепло другим дарить. Наверно в жизни нужно нам, Все видеть в ней, все замечать. И не молчать, а говорить, Слова, что в жизни нашей так нужны."
62,w,ukr,ru,"📣 #Мысли вслух от СПЖ 📣 О рекомендациях комиссии Рады по УПЦ Комитет Рады по гуманитарной и информполитике опубликовал Рекомендации в связи с «Угрозами нацбезопасности, связанных с деятельностью религиозных организаций, имеющих руководящие центры на территории государства-агрессора». Документ отослан в ВР, Кабмин, СНБО, МВД, СБУ, Минкульт и т. д. Само название сразу же вызывает недоумение, поскольку после 27 мая в Украине подобных организаций просто не существует. Впрочем, сам текст Рекомендаций вызывает еще больше недоумений. Изложим основные тезисы: 1️⃣ Комитет пишет о преследованиях конфессий на оккупированных территориях и утверждает, что в Украине (где ежедневно власти незаконно переводят в ПЦУ общины УПЦ) все идеально. 2️⃣ Комитет утверждает, что закон 2662-VIII (о переименовании УПЦ) «не до конца реализован» и призывает ВР разработать «обновленную его редакцию». 3️⃣ Комитет призвал бороться с последствиями указов Петра I и Екатерины, поскольку сегодня «украинские верующие не имеют достаточно возможностей для удовлетворения своих духовных потребностей именно на украинском языке» (и это не шутка). 4️⃣ В Комитете скорбят, что в селах проводят службы не на украинском языке (очевидно, речь о церковно-славянском) и призывают СМИ и местные власти «решить проблему» (интересно, как). 5️⃣ Комитет призвал всех православных к объединению в одну церковь ради «повышения авторитета Украины на международной арене». 6️⃣ Комитет призвал ВР создать законопроект об упрощении переходов общин, если настоятель против. 7️⃣ Рекомендовал СНБО ввести санкции против РПЦ и Крымских епархий. 8️⃣ Рекомендовал Кабмину усилить надзор за религиозными организациями с центром в стране агрессоре: следить за ее финансами, ограничить размер пожертвований и т. д. 9️⃣ Рекомендовал местным властям создать комиссии для проведения дискуссий при принятии решений о переходах общин. Как видим, все эти пункты говорят сами за себя – они призваны максимально осложнить жизнь общинам УПЦ. Ну а формулировки Комитета до боли напоминают документы от Совета по делам религий при СССР. Совет этот почил 30 лет назад. И, думается, судьба сегодняшних рекомендаций вряд ли будет другой."
63,n,ukr,ru,"Удивительное Лето! Светлана Доля Удивительное лето! Солнца яркого лучи Мир своим согрели светом, подобрав легко ключи... Этим летом дождь обильный льёт не лейкой - из ведра! Тёплый, ласковый, невинный прямо с самого утра... Искупал он все деревья раз пятнадцатый подряд... Но и солнце им - веселье, дарит ласковый свой взгляд... После дождика, на небе улыбается нам вновь! В разноцветной чистой неге разгорается любовь А какой чудесный воздух: жидкий мёд течёт - нектар! Вмиг забудешь ты про прозу, обретёшь в стихах свой дар! И порхать начнёшь, ликуя, словно яркий мотылёк... День свой радостью целуя, и любви плетя венок... 30.06.2017 © Copyright: Светлана Доля, 2017"
64,n,ukr,ru,"Умирать, так с музыкой"
65,n,ukr,ru,"😡На курорты Красного моря хотят привлечь россиян даже на фоне санкций против РФ
В Египте ждут туристов из России. Обещают помочь с оплатой картами"
66,n,ukr,ru,"Очень захотела торт “Медовик”, но готовить лень. Нашла рецепт простого итальянского медового пирога с орехами
Очень захотела торт “Медовик”, но готовить лень. Нашла рецепт простого итальянского медового пирога с орехами – Dish recipes"
67,w,ukr,ru,"💥Украинская сторона не ведет переговоры с западными партнерами о будущем ""мирном плане"" с Россией
Зеленский отреагировал на обсуждение ""мирного плана"" на Западе"
68,n,ukr,ru,"Ситуация нетипична. У животного большой стресс. А тут еще вспышками его мучают
Морж на пляже в Лиепае. В подобных случаях к животному призывают не приближаться | Mixnews"
69,n,ukr,ru,"Лично я не присутствовала, когда вся эта ситуация происходила, как говорится «свечку не держала», весь рассказ написан со слов моей сестренки – Кати...
Её спектакли мне уже надоели!Сестра мужа ревнует его ко мне"
70,n,ukr,ru,"В Европе недовольны предоставлением Украине статуса кандидата Некоторые лидеры европейских стран подняли вопрос о прецеденте и справедливости — было ли, в конце концов, справедливым ускорить рассмотрение предоставления статуса кандидата на вступление в ЕС — именно Украине, когда другие страны ожидают этого гораздо дольше?
В Европе недовольны предоставлением Украине статуса кандидата"
71,n,ukr,ru,"Подлодка оснащена 154 крылатыми ракетами Tomahawk с дальностью действия более полутора тысяч километров 💥
Атомная подлодка США подошла к берегам Греции. Она имеет 154 крылатые ракеты"
72,n,ukr,ru,"Антиталисманы🧿🦇: 13 вещей, которые не дают разбогатеть, отпугивают любовь и разрушают энергетику дома🧟‍♀
Антиталисманы: 13 вещей, которые не дают разбогатеть, отпугивают любовь и разрушают энергетику дома"
73,n,ukr,ru,"Иногда хочется бежать оттуда, где сейчас находишься, в поисках своего Иерусалима. Где бы вы ни были , что бы ни делали, сделайте это Иерусалимом. Из книги ""365 изречений Любавичского Ребе Менахем-Мендела Шнеерсона"" Подписывайся! EveryJew"
74,w,ukr,ru,!!! Воздушная тревога !!! Вся область 23:11
75,n,ukr,ru,"Экстренное предупреждение из-за жары объявлено в Москве
Экстренное предупреждение из-за жары объявлено в Москве"
76,n,ukr,ru,"Погуляв так, немов востаннє! 😆
Король вечірок: п'яний одноклубник Зінченка вразив танцями у трусах зі своєю дівчиною"
77,w,ukr,ru,"Нацгвардия опровергает заявление Кадырова
Спикер НГУ: Возле Лисичанска идут ожесточенные бои, но город не окружен"
78,w,ukr,ru,"Эксперты считают, что Лисичанск скоро могут захватить
Славянск под обстрелом, враг продвигается: свежие карты боев в Украине"
79,n,ukr,ru,Так какой жизни у нас сейчас больше - улично-офисной или в Социальных Сетях? - просим высказываться во всемирный день этих самых Социальных Сетей ☘️☘️☘️ желающие дать поддержки этой странице теперь могут сделать это в платежной системе PayPal - вот наш адрес - positiveodessa@gmail.com всем заранее огромное СПАСИБО
80,n,ukr,ru,"В Германии францисканцы избрали своим новым настоятелем священника-гея Францисканцы в Гермнаии избрали настоятелем священника, совершившего каминг-аут.
В Германии францисканцы избрали своим новым настоятелем священника-гея"
81,w,ukr,ru,"⚡️ ВСУ нанесли удар по буровым установкам ""Черноморнефтегаза"", - заявил наместник аннексированного Крыма Аксёнов Если это правда - то русня не сможет добывать газ в украинском Черном море. Напомним, рф захватила буровые платформы в 100 км от Одессы и 150 км от Крыма в 2014 году. Оккупанты также использовали их для наблюдения за надводной обстановкой с помощью радиотехнической разведки."
82,n,ukr,ru,"Одна из крупнейших сетей АЗС сняла ограничения на отпуск топлива Новые условия действуют для всех участников программы лояльности PRIDE. https://kiev.vgorode.ua/news/sobytyia/odna-iz-krupnejshikh-setej-azs-snjala-ohranichenija-na-otpusk-horjucheho
Одна из крупнейших сетей АЗС сняла ограничения на отпуск топлива"
83,w,ukr,ru,"Это подтверждают документы, обнаруженные у уничтоженного российского офицера.
Сколько часов отводила Россия на захват Киева в феврале, рассказал Резников"
84,n,ukr,ru,"МВД распродает старый автопарк. Самый дорогой милицейский УАЗ — из Гомельской области У всех машин, выставленных министерством на «Белспецконтракт», значится износ от 80 до 90%, многие выпущены в начале 2000-х. Старый автопарк состоит из всевозможных УАЗов и ВАЗов, самый дорогой из которых с надписью «Чачэрск». Вообще, цены на УАЗ стартуют от 3 194 руб., а заканчиваются на отметке в 7 400 руб. ВАЗы дешевле — от 1 115 руб. до 4 900 руб. Среди предложений можно выделить Opel Astra Caravan 2007 г.в. (почти 400 тыс. км пробега), стоимость — 10 300 руб., Volkswagen Sharan 1996 г.в. (812 334 км) — 5 300 руб., Volkswagen Passat 2002 г.в. (почти 360 тыс. км) — 8 948 руб. У всех износ 90%. Продают четыре седана Geely SC7, все 2013 года выпуска. Самый дешёвый (с пробегом 162 190 км) — в Борисове за 3 800 рублей. Есть три седана Samand TU5 2011 г.в. с пробегами более 200 тыс. км. Цены — от 3 800 до 4 500 руб. Пять хетчбэков Opel Astra 2006 г.в. с пробегом почти 540 тыс. км. Их можно купить от 5 600 до 6 600 рублей. Источник: https://bsk.by/"
