				message	title					label	
			13	Огурцы съедаю, рассолом запиваю — красота! В жаркий летний зной на даче регулярно так поступаю. И никакого уксуса, лимон — природный консервант... Не кислые, хрустящие, могут заменить обед и ужин в летнюю жару.	Как закрутить огурцы с рассолом на запивку					n	
			14	🔰Лукашенко передал личное послание генеральному секретарю ООН Антониу Гутерришу	Генсек ООН Гутерриш получил тайное послание от Лукашенко					n	
			15	"Специально в такой молниеносной скорости проведен этот суд, чтобы давить на мир с проведением переговоров с РФ" (с)	МВД о "смертных приговорах" иностранным бойцам: Россия поднимает ставки в переговорах					w	
			16	Российские хакеры осуществили атаки против 42 стран-союзников Украины Оперативные новости на нашем telegram-канале https://t.me/guildhall	Российские хакеры осуществили атаки против 42 стран-союзников Украины					n	
			17	Смотрите прямой эфир проекта FREEДОМ, организованного крупнейшими медиа-группами Украины. Проект вещает в 60 странах мира на русском языке, чтобы охватить наибольшее количество русскоязычной аудитории и донести правду о войне в Украине. Подписывайтесь на Telegram канал FREEДОМ: https://t.me/tv_freedom _______ Russia is waging a full-scale war with Ukraine. Watch united online marathon of all Ukrainian channels about the main events in the country. _______ Допомога армії України/ Помощь армии Украины/ How to help Ukrainian Army - https://bank.gov.ua/ua/about/support-the-armed-forces #freedom #freeдом						flag	
			18	Российский актёр Владимир Вдовиченков не раз говорил о том, что обладает сложным и жестким характером.	Хочется детей, но все не получается: почему супруги Вдовиченков с Лядовой не стали родителями					n	
			19	Платье летнее для девочки						n	
			20	Германия ограничит использование газа для производства электроэнергии	Германия ограничит использование газа для производства электроэнергии					n	
			21	Я до сих пор помню, как она сидела в белой ажурной кофточке рядом с холодильником, морщинистая и сгорбленная, оперев голову на пропитанную увлажняющим кремом руку, опустив плечи и пытаясь понять, как воспитывать такого своенравного и непослушного подростка.	Бабушка спасла мне жизнь, но, к сожалению, так и не увидела этого					n	
			22	Как отмечают День Независимости у «Чижовка-арены» Читать здесь: https://bit.ly/3yxOlyX						n	
			23	Главные заявления из брифинга Минобороны России: ✅Три батальона 10-й горно-штурмовой и 72-й механизированной бригад ВСУ за сутки потеряли более 50% личного состава в районах Верхнекаменки и Золотаревки. ✅В районе Артемовска ВКС России ударили по пункту временного размещения 1-го батальона 30-й механизированной бригады. Уничтожено до 120 украинских военнослужащих. Также ВКС поразили четыре взвода РСЗО, из которых ВСУ обстреливали ДНР. ✅Российская авиация поразила базу временного хранения вооружения и военной техники 10-й горно-штурмовой бригады ВСУ в тракторном заводе Харьков. Уничтожены до 30 человек личного состава. ✅ВС России уничтожили пять пунктов управления ВСУ, три склада с боеприпасами, а также живую силу и военную технику Украины в 32 районах. ✅Российская авиация, ракетные войска и артиллерия ударили по 39 пунктам управления ВСУ, двум складам боеприпасов в районе Николаева и живой силе и военной технике в 302 районах. ✅Средства ПВО сбили украинский МиГ-29 в Николаевской области, а также 19 беспилотников. Удалось перехватить четыре реактивных снаряда залпового огня в Ясиноватой, Минеральном и Чернобаевке.						w	
			24	Спасибо, жизнь, за радость и печаль. За то, что не была я слишком гордой. Что научила ты меня прощать. Спасибо, что порой бываешь строгой. Спасибо, жизнь, что я себя нашла, Когда моей души запели струны. И что во мне любовь всегда жива! И с нею в сердце я останусь юной… Спасибо, жизнь, за дружбу и врагов. Я на ошибках многому училась. Кто рядом был, и тех, кто не со мной, Но за которых я всегда молилась! Спасибо, жизнь, за тысячи минут Счастливых! Я во всём их находила. За облака, что по небу плывут… За радости, что ты мне приносила! Спасибо жизнь, что многое начать Мне предстоит. Познать и научиться. За то, что есть ещё, о чём мечтать! За то, что есть к чему стремиться…						n	
			25	Перед вступлением в ЕС Зеленский решил ратифицировать Стамбульскую конвенцию Этот документ предписывает защищать женщин, а также граждан по признаку сексуальной ориентации и вводит понятие гендера (гендер - это то, кем себя считает индивидуум, независимо от его биологического пола). Ратификация конвенции - похоже, одно из условий предоставления статуса кандидата в члены ЕС.						n	
			26	Напомним, что украинский ведущий Дмитрий Гордон не является родственником российского ведущего Александра Гордона.	«Семеро наследников и юная супруга»: какая семья у Дмитрия Гордона					n	
			27	1 июля министр национальной обороны Польши Мариуш Блащак подписал контракт на поставку в армию новых вертолетов AW149. Данные вертолеты производятся на заводе в Свиднике, входящем в группу Leonardo.	На вооружение польской армии поступят 32 многоцелевых вертолета AW149					w	
			28	Сотрудники ФСБ России совместно с КГБ Белоруссии задержали троих сотрудников налоговых органов по подозрению в передаче данных о полицейских и военных, сообщается на сайте СКР. Возбуждены уголовные дела по ст. 290 «Получение взятки» и 291.1 «Посредничество во взяточничестве» УК РФ. По версии следствия, подозреваемые через посредника предоставляли информацию об источниках доходов физических лиц, счетах, открытых в кредитных организациях, адресах регистрации и имуществе и другую конфиденциальную информацию. Однако спустя некоторое время один из сотрудников уволился с занимаемой должности. Следственные действия прошли в Оренбургской, Ярославской и Псковской областях. Двоих фигурантов дела поместили под стражу, другие двое находятся под домашним арестом. Агентство ТАСС со ссылкой на данные ЦОС ФСБ России уточняет, что участники группы передавали заказчикам, в том числе в интересах иностранных граждан, сведения в отношении более чем 30 человек, включая военных и сотрудников правоохранительных органов.						n	
			29	Ой, напевно дуже гаряче... 😉	Ви тільки подивіться!! Горить, палає! В Aлтaї пожежa охопuлa вже понaд 2.300 гектaрів лісу -					n	
			30	Предприниматель из Николаевской области чудом выжил в плену у российских оккупантов! ___________________ FREEДОМ - UATV Channel https://dopomogaua.info/ua - головний сайт про допомогу під час війни						w	
			31	Хлеб подорожал на 15%! Что влияет на стоимость?						n	
			32	«Сейчас выведем тебя в поле и расстреляем»: житель Мариуполя вспоминает допрос во время фильтрации. Россия на оккупированных территориях ищет «неблагонадежных» и врагов. Многих принуждают проходить фильтрацию. На основе свидетельств людей, которые это пережили, Радио Донбасс.Реалии составили общую картину: что же такое фильтрация, зачем она, как проходит и где?						w	
			33	Зеленский заверил, что приложит все усилия для принятия решения о статусе кандидата в члены ЕС: «Для нас это важно». #uazmi #новости #политика Президент Украины Владимир Зеленский уверяет, что приложит все усилия, чтобы историческое решение о кандидатстве Украины в ЕС было принято.	Зеленский заверил, что приложит все усилия для принятия решения о с...					n	
			34	🌾🚢Россияне вывезли 7 тысяч тонн украинского зерна из Бердянского порта: рассказываем, как это произошло ⬇️⬇️⬇️	Судно с краденным зерном из Бердянска прибыло в Турцию					w	
			35	ПВО сбили три ракеты в Одесской области❗	До Одессы не долетели три российские ракеты: сбили ПВО					w	
			36	Сходство необычайно! 😯	Китаянка решила превратить себя в Мону Лизу и результат обалденный					n	
			37	Куда обращаться⬇⬇	Куда обращаться за продуктовыми наборами в Киеве: список адресов					n	
			38	Така доля чекає кожного зрадника України!	На Херсонщині ліквідували екснардепа Олексія Ковальова, який перейшов на бік окупантів — Патріоти України					w	
			39	Если вы пропустили: Как «Рамштайн-3» вооружит Украину — реакция на встречу антипутинской коалиции	Как "Рамштайн-3" вооружит Украину – реакция на встречу антипутинской коалиции - военная помощь Украине					w	
			40	Украина получит от США норвежские ЗРК NASAMS — CNN. https://myc.news/						w	
			41	До выборов никаких ЧС и карантинов не будет, а потом... Кто его знает (с)	Адвокат: до выборов правительство будет делать вид, что кривая COVID не растет | Mixnews					n	
			42	Саммит Россия-Турция-Иран состоится в ближайшее время	Саммит Россия-Турция-Иран состоится в ближайшее время – МИД Ирана — Armenia Today					n	
			43	А потом так — бац! И тебе полста. То спина болит, то скрипит бедро. И тебе важней покормить кота, чем махать мечом, насаждать добро... 🖤🖤🖤	Для хорошего настроения... замечательный стих Русудан Алмазовой - По коту!					n	
			44	Токаев поздравил шахматистку из Казахстана, ставшую чемпионом мира	Токаев поздравил шахматистку из Казахстана, ставшую чемпионом мира					n	
			45	У Сумах створили патріотичну клумбу https://www.0542.ua/news/3416231/u-sumah-stvorili-patrioticnu-klumbu						n	
			46	Меня больше удивляют пользователи Сети, которые набросились на 80-летнюю женщину из-за ее политической позиции 😳	«Мне так грустно». Фанаты не оценили слова Брыльской в «поддержку» Украины					n	
			47	В Германии начали конфисковывать недвижимость россиян	В Германии начали конфисковывать недвижимость россиян					w	
			48	Пальминг – это упражнение на расслабление глаз. Оно является очень древним и принадлежит йогам. Упражнение «пальминг для глаз» следует выполнять каждый раз, когда вы ощущаете напряжение в глазах или когда просто о чем-либо мечтаете или воображаете.	Пальминг для глаз. Уже через 7 дней вы станете видеть намного лучше					n	
			49	Утренний прилёт по Николаеву в жилой дом 😣❤️‍🩹						w	
			50	#ВечерМК	Камбоџанец ја улови најголемата слатководна риба во светот досега | Вечер ...1963 | Vecer MK					flag	
			51	Американские эксперты предупреждают о провокациях со стороны оккупантов ⬇️	Россия может попытаться подставить защитников Украины в битве за Херсон - ISW					w	
			52	Актуально 👇	Де у Луцьку можна заправити машину: перелік АЗС					n	
			53	63% жителей Германии опасаются втягивания ФРГ в войну в Украине, которая продолжается уже 79-й день.	Большинство немцев опасаются втягивания Германии в войну в Украине - опрос					w	
			54	«Украина везде будет пытаться жалить как гадюка» *** #Украина #ВСУ #Змеиный *** ВСУ пытаются захватить остров Змеиный, чтобы Россия не мешала получать военные грузы из Румынии https://ruskline.ru/news_rl/2022/06/24/ukraina_vezde_budet_pytatsya_zhalit_kak_gadyuka						w	
			55	Введение ограничений опротестовали также председатель совета директоров «Северстали» Алексей Мордашов и бывший член совета директоров Шереметьево Александр Пономаренко. Все три предпринимателя попали под санкции 28 февраля	Тимченко оспорил персональные санкции ЕС					w	
			56	Эту интересную технику еще называют перуанским вязанием. Для выполнения узора нужна обыкновенная палочка (из любых материалов: металла, пластмассы, дерева), нити и крючок 🤗🤗	Брумстик — оригинальная техника вязания, пришедшая из Перу. Красивые изделия при помощи палочки для мороженого					n	
			57	США остановили сделку с Украиной по продаже беспилотников MQ-1C Gray Eagle, — Reuters. По данным СМИ, в Америке опасаются, что радар и оборудование для наблюдения на этих дронах могут создать угрозу безопасности Штатов, если они попадут в руки россии.						w	
			58	Если вы пропустили: Новую информацию о пленных защитниках «Азовстали» раскрыл Ермак	Новую информацию о пленных защитниках «Азовстали» раскрыл Ермак — пленные защитники Азовстали					w	
			59	Для участников образовательного процесса будет создан паспорт безопасности, в заведениях обязательно будет охрана, специальное оборудование для оповещения сигнала тревоги, а для детей будут проводиться воспитательные и тренировочные часы	В украинских школах появится охрана и будут проводиться тренировки учеников по эвакуации					n	
			60	Самый жестокий убийца и некрофил Словакии умер в тюрьме #Словакия, #серийный #убийца, #маньяк,#умер, #Ондрей #Риго https://ua-reporter.com/news/samyy-zhestokiy-ubiyca-i-nekrofil-slovakii-umer-v-tyurme						n	
			61	Здравствуйте, Евгений Олегович! Многие высокопоставленные лица в Украине не раз говорили в своих выступлениях об опасностях, которые подстерегают жителей после деоккупации территорий. В частности, минные поля, ловушки/растяжки, подбитая техника и т.д. Выражалось также пожелание о создании мобильного приложения в этой связи, чтобы предупредить и обезопасить граждан, особенно детей. Я слышал, что подобные приложения уже разрабатываются, и хотел бы предложить свой вариант. Наша компания Ikrosh-Lab, работающая во Франции, разработала такое приложение. Сертфикат и ссылки в СМИ приложены к письму. Приложение бесплатное и без всякой рекламы – https://play.google.com/store/apps/details?id=com.ikroshlab.vectrum.ua Вот короткое видео, где показано в полевых условиях, как оно работает, а также некоторые рекомендации и комментарии – https://youtu.be/o9Xrl5RWEFM Очень надеемся, что наше приложение будет вам полезно. Конечно, там можно многое улучшить. Поэтому, пожалуйста, пишите свои пожелания, критику нам на почту: vadmin@ikroshlab.com						w	
			62	У НАС НЕТ ВРЕМЕНИ НА РАССУЖДЕНИЕ И СТРАХ‼ Каждый день- борьба за выживание и хвостатые жизни. Мы выбрали свой путь, мы идем по нему. Приходим каждый день на работу, не смотря на страх и все происходящее вокруг. Тыла в нашем городе уже нет, ежедневно снаряды прилетают в самые оживленные места нашего города. Воды в приюте нет больше недели, содержать 800 собак без воды крайне сложно, но ничего...Хорошо что в 14-том мы купили огромные бочки, сейчас таких нет. Экстренные операции теперь проводятся в коридоре, там нет окон да и стены потолще. Работаем в дежурном режиме, но все так же работаем... Страшно? Да. Тяжело? Да. Но мы просим поддерживать нас. Добрым словом и по возможности финансово. Помощь очень нужна 🙏🏻 Связь с приютом : 0713166060 Юля ( с 10 до 17), на номере есть Вайбер, воцап, телеграм. Мы просим помощи! Сейчас в ПИФе 800 собак, много инвалидов и старичков, которые нуждаются в постоянном уходе. Нам очень нужна помощь! Наши реквизиты: Карта Приватбанка: 4149 4993 4185 1960 Афонина Вита Карта Сбербанка : 4276 3801 3492 7685 Васильева Ольга Валерьевна Яндекс Кошелек 410012979663160 QIWI: +7 999 652-16-01 ЦРБ 1005 6388 0567 6756 Васильева Виктория Игоревна 08/22						n	
			63	Reuters: в ​​Европе не хватает российского газа на фоне жары и резкого сокращения поставок	Reuters: в ​​Европе не хватает российского газа на фоне жары и резкого сокращения поставок					n	
			64	Глава МИД РФ Сергей Лавров заявил, что длительность конфликта в Украине зависит от поставок Западом вооружений: "Нам представляется подобная линия, которую Запад занял, абсолютно контрпродуктивной и вредной. Чем больше будут накачивать Украину оружием, тем дольше продлится этот конфликт".						w	
			65	Оцените, как вам мои старания?	Жена попросила просто облагородить дворовой туалет, а я сделал в нем евроремонт. Фото до и после					n	
			66	Мы привыкли думать, что накопление жира – результат неправильного питания. Отчасти это правда, хотя несбалансированность рациона – далеко не единственный виновник появления лишних сантиметров на животе.	Кортизоловый живот: Как избавиться жира, накопленного из-за стресса					n	
			67	Моё ты Солнышко скажу, Тепло твоё я получу. И мир светлее станет вмиг. Ведь свет несёшь ты в этот мир. Звезда моя ты в темноте, Ты светишь ночью только мне. Пусть даже ночь у нас темна, Твой свет увижу в небе я. Тебе скажу, что я люблю, Любовь твою я получу. Тепло подарит мне огонь, Что в сердце ты зажгла моём. Костер любви зажгла ты мне, Чтоб душу он мою согрел. Согреет душу мою так, Чтоб там цвести могла весна. Тебе я ласку подарю, В ответ её я получу. Не буду грубым на слова, Чтоб боль тебе не причинять. В поступках груб не буду я, Чтоб боль тебе не причинять. Любимым в жизни быть хочу. Свое тепло другим дарить. Наверно в жизни нужно нам, Все видеть в ней, все замечать. И не молчать, а говорить, Слова, что в жизни нашей так нужны.						n	
			68	📣 #Мысли вслух от СПЖ 📣 О рекомендациях комиссии Рады по УПЦ Комитет Рады по гуманитарной и информполитике опубликовал Рекомендации в связи с «Угрозами нацбезопасности, связанных с деятельностью религиозных организаций, имеющих руководящие центры на территории государства-агрессора». Документ отослан в ВР, Кабмин, СНБО, МВД, СБУ, Минкульт и т. д. Само название сразу же вызывает недоумение, поскольку после 27 мая в Украине подобных организаций просто не существует. Впрочем, сам текст Рекомендаций вызывает еще больше недоумений. Изложим основные тезисы: 1️⃣ Комитет пишет о преследованиях конфессий на оккупированных территориях и утверждает, что в Украине (где ежедневно власти незаконно переводят в ПЦУ общины УПЦ) все идеально. 2️⃣ Комитет утверждает, что закон 2662-VIII (о переименовании УПЦ) «не до конца реализован» и призывает ВР разработать «обновленную его редакцию». 3️⃣ Комитет призвал бороться с последствиями указов Петра I и Екатерины, поскольку сегодня «украинские верующие не имеют достаточно возможностей для удовлетворения своих духовных потребностей именно на украинском языке» (и это не шутка). 4️⃣ В Комитете скорбят, что в селах проводят службы не на украинском языке (очевидно, речь о церковно-славянском) и призывают СМИ и местные власти «решить проблему» (интересно, как). 5️⃣ Комитет призвал всех православных к объединению в одну церковь ради «повышения авторитета Украины на международной арене». 6️⃣ Комитет призвал ВР создать законопроект об упрощении переходов общин, если настоятель против. 7️⃣ Рекомендовал СНБО ввести санкции против РПЦ и Крымских епархий. 8️⃣ Рекомендовал Кабмину усилить надзор за религиозными организациями с центром в стране агрессоре: следить за ее финансами, ограничить размер пожертвований и т. д. 9️⃣ Рекомендовал местным властям создать комиссии для проведения дискуссий при принятии решений о переходах общин. Как видим, все эти пункты говорят сами за себя – они призваны максимально осложнить жизнь общинам УПЦ. Ну а формулировки Комитета до боли напоминают документы от Совета по делам религий при СССР. Совет этот почил 30 лет назад. И, думается, судьба сегодняшних рекомендаций вряд ли будет другой.						n	
			69	Удивительное Лето! Светлана Доля Удивительное лето! Солнца яркого лучи Мир своим согрели светом, подобрав легко ключи... Этим летом дождь обильный льёт не лейкой - из ведра! Тёплый, ласковый, невинный прямо с самого утра... Искупал он все деревья раз пятнадцатый подряд... Но и солнце им - веселье, дарит ласковый свой взгляд... После дождика, на небе улыбается нам вновь! В разноцветной чистой неге разгорается любовь А какой чудесный воздух: жидкий мёд течёт - нектар! Вмиг забудешь ты про прозу, обретёшь в стихах свой дар! И порхать начнёшь, ликуя, словно яркий мотылёк... День свой радостью целуя, и любви плетя венок... 30.06.2017 © Copyright: Светлана Доля, 2017						n	
			70	Умирать, так с музыкой						n	
			71	😡На курорты Красного моря хотят привлечь россиян даже на фоне санкций против РФ	В Египте ждут туристов из России. Обещают помочь с оплатой картами					n	
			72	Очень захотела торт “Медовик”, но готовить лень. Нашла рецепт простого итальянского медового пирога с орехами	Очень захотела торт “Медовик”, но готовить лень. Нашла рецепт простого итальянского медового пирога с орехами – Dish recipes					n	
			73	💥Украинская сторона не ведет переговоры с западными партнерами о будущем "мирном плане" с Россией	Зеленский отреагировал на обсуждение "мирного плана" на Западе					w	
			74	Ситуация нетипична. У животного большой стресс. А тут еще вспышками его мучают	Морж на пляже в Лиепае. В подобных случаях к животному призывают не приближаться | Mixnews					n	
			75	Лично я не присутствовала, когда вся эта ситуация происходила, как говорится «свечку не держала», весь рассказ написан со слов моей сестренки – Кати...	Её спектакли мне уже надоели!Сестра мужа ревнует его ко мне					n	
			76	В Европе недовольны предоставлением Украине статуса кандидата Некоторые лидеры европейских стран подняли вопрос о прецеденте и справедливости — было ли, в конце концов, справедливым ускорить рассмотрение предоставления статуса кандидата на вступление в ЕС — именно Украине, когда другие страны ожидают этого гораздо дольше?	В Европе недовольны предоставлением Украине статуса кандидата					n	
			77	Подлодка оснащена 154 крылатыми ракетами Tomahawk с дальностью действия более полутора тысяч километров 💥	Атомная подлодка США подошла к берегам Греции. Она имеет 154 крылатые ракеты					w	
			78	Антиталисманы🧿🦇: 13 вещей, которые не дают разбогатеть, отпугивают любовь и разрушают энергетику дома🧟‍♀	Антиталисманы: 13 вещей, которые не дают разбогатеть, отпугивают любовь и разрушают энергетику дома					n	
			79	Иногда хочется бежать оттуда, где сейчас находишься, в поисках своего Иерусалима. Где бы вы ни были , что бы ни делали, сделайте это Иерусалимом. Из книги "365 изречений Любавичского Ребе Менахем-Мендела Шнеерсона" Подписывайся! EveryJew						n	
			80	!!! Воздушная тревога !!! Вся область 23:11						w	
			81	Экстренное предупреждение из-за жары объявлено в Москве	Экстренное предупреждение из-за жары объявлено в Москве					n	
			82	Погуляв так, немов востаннє! 😆	Король вечірок: п'яний одноклубник Зінченка вразив танцями у трусах зі своєю дівчиною					n	
			83	Нацгвардия опровергает заявление Кадырова	Спикер НГУ: Возле Лисичанска идут ожесточенные бои, но город не окружен					w	
			84	Эксперты считают, что Лисичанск скоро могут захватить	Славянск под обстрелом, враг продвигается: свежие карты боев в Украине					w	
			85	Так какой жизни у нас сейчас больше - улично-офисной или в Социальных Сетях? - просим высказываться во всемирный день этих самых Социальных Сетей ☘️☘️☘️ желающие дать поддержки этой странице теперь могут сделать это в платежной системе PayPal - вот наш адрес - positiveodessa@gmail.com всем заранее огромное СПАСИБО						n	
			86	В Германии францисканцы избрали своим новым настоятелем священника-гея Францисканцы в Гермнаии избрали настоятелем священника, совершившего каминг-аут.	В Германии францисканцы избрали своим новым настоятелем священника-гея					n	
			87	⚡️ ВСУ нанесли удар по буровым установкам "Черноморнефтегаза", - заявил наместник аннексированного Крыма Аксёнов Если это правда - то русня не сможет добывать газ в украинском Черном море. Напомним, рф захватила буровые платформы в 100 км от Одессы и 150 км от Крыма в 2014 году. Оккупанты также использовали их для наблюдения за надводной обстановкой с помощью радиотехнической разведки.						w	
