				message						label	
			19	СЕСІЯ МІСЬКОЇ РАДИ ПЕРЕПРОФІЛЬОВАНО ТА ПЕРЕЙМЕНОВАНО ЗАГАЛЬНООСВІТНІ ЗАКЛАДИ НЕТІШИНСЬКОЇ МТГ 24 червня відбулось засідання двадцять четвертої сесії Нетішинської міської ради VIII скликання. На розгляд порядку денного було винесено 30 питань, що стосувались різних сфер життєдіяльності Нетішинської МТГ. Розпочалося пленарне засідання з хвилини мовчання в пам'ять про загиблих українських воїнів та цивільного населення в російсько-українській війні. Міська рада підтримала депутатський запит Олександра Степанюка (Європейська солідарність) про вжиття необхідних заходів щодо посилення контролю та відповідальності громадян за дотриманням встановлених обмежень під час комендантської години та забезпечення періодичної звітності перед громадою про проведені заходи з оприлюдненням в соціальних мережах та ЗМІ. Одноголосно підтримано 2 звернення міської ради: до Верховної Ради України та Президента України щодо підтримки законопроєкту про застосування через механізм РНБО санкцій проти рпц, як організації-пособника тероризму і співучасника геноциду; до комітету Верховної Ради України з питань фінансів, податкової та митної політики щодо змін до Податкового кодексу України (в частині збільшення розміру загальної суми від здійснення операцій з постачання товарів/послуг). Рішеннями міської ради перепрофільовано (змінено тип) та перейменувано 5 закладів загальної середньої освіти Нетішинської міської ради: Нетішинську загальноосвітню школу І-ІІІ ступенів №1 -у Нетішинський ліцей №1, Нетішинську загальноосвітню школу І-ІІІ ступенів №2 - у Нетішинський ліцей №2, Нетішинський навчально-виховний комплекс «Загальноосвітня школа І-ІІ ступенів та ліцей» - у Нетішинський ліцей №3, Нетішинську загальноосвітню школу І-ІІІ ступенів №4 - у Нетішинський ліцей №4, Старокривинський навчально- виховний комплекс «Загальноосвітня школа І-ІІІ ступенів - заклад дошкільної освіти» - у Старокривинський ліцей №5. Затверджено і статути вищеназваних освітянських закладів в новій редакції (зазнав змін порядок призначення керівника закладу). Міська рада своїми рішеннями також затвердила в новій редакції статути 3 -ох закладів позашкільної освіти: клубу «Юний технік», «Центру туризму і краєзнавства учнівської молоді», «Будинку дитячої творчості» та 2 -ох закладів культури: мистецької школи «Нетішинська школа мистецтв», мистецької школи «Нетішинська художня школа» (зазнав змін порядок призначення керівника закладу). Затверджено звіт про виконання бюджету Нетішинської МТГ за січень - березень 2022 року: по доходах у сумі 153 597 441, 15 грн (загальний фонд - 152 386 655, 88 грн, спеціальний фонд - 1 210 785, 27 грн); по видатках - 107 104 833, 57 грн (загальний фонд - 105 576 682, 32 грн, спеціальний фонд - 1 528 151, 25 грн). У січні-березні до доходної частини загального та спеціального фондів бюджету громади (без урахування міжбюджетних трансфертів) надійшло 133 715, 7 тис. грн, при плані 122 724 тис. грн. Виконання плану становить 109%. У порівнянні з відповідним періодом минулого року, доходи бюджету громади збільшились на 18 639, 0 тис. грн, у тому числі загального фонду – на 19 115, 7 тис. грн, спеціального фонду зменшились на 476 тис., 6 грн. Надходження до загального фонду бюджету МТГ становить (у відсотках): ВП ХАЕС - 67,9%, суб’єктів підприємницької діяльності - 18, 8 % (юридичних осіб - 10, 3%, фізичних - 8, 5%), бюджетної сфери - 10, 0 %, підприємств комунальної власності - 3, 3%. До загального фонду бюджету громади (без урахування міжбюджетних трансфертів) надійшло податків, зборів (обов’язкових платежів) 132 505,0 тис. грн, при плані121 527, 2 тис. грн (109,0%). За січень-березень з бюджету громади проведено видатків на суму 105 576, 7 тис. грн, що становить 19, 8 % видатків затвердженого бюджету на рік. Найбільша питома вага видатків загального фонду становлять: освіта - 51, 3%, державне управління - 15, 4 %, охорона здоров’я - 2, 4%, реверсійні дотації - 9,9%, ЖКГ - 10, 0%, культура і мистецтво - 3,9%, соціальний захист і соціальне забезпечення - 3, 6%. Основні суми видатків спрямовані на: оплату праці і нарахування на неї - 68, 1%, поточні трансферти - 24, 7 %, комунальні послуги - 2,2%, продукти харчування - 1%, предмети, матеріали, обладнання та інвентар - 1,2%; оплата послуг (крім комунальних) - 0,8%. Рішеннями міської ради затверджено Порядок надання комплексних реабілітаційних (абілітаційних) послуг у Нетішинському центрі комплексної реабілітації для осіб з інвалідністю «Мрія» та внесено зміни до фінансового плану КНП НМР «Спеціалізована медико-санітарна частина м. Нетішин на 2022 рік». Встановлено міською радою на території Нетішинської МТГ пільги для фізичних та юридичних осіб із сплати податку на нерухоме майно, відмінне від земельної ділянки. Отже, 100% пільга встановлена для власників житлових будівель для ветеранів війни та осіб, на яких поширюється дія Закону «Про статус ветеранів війни, гарантії їх соціального захисту» та осіб, які визнані законом як такі, які постраждали внаслідок Чорнобильської катастрофи, (truncated)						u	
			20	Окупанти торгують запчастинами зі своєї військової техніки та міняють на алкоголь Деталі за посиланням: https://frankivchany.if.ua/122484-okupanty-torguyut-zapchastynamy-zi-svoyeyi-vijskovoyi-tehniky-ta-minyayut-na-alkogol/						u	
			21	ФОНД СОЦІАЛЬНОГО СТРАХУВАННЯ УКРАЇНИ ПОВІДОМЛЯЄ!						u	
			22	❗⚡ОЙ...а що ж це таке, ну хто ж так робить на камеру??? По3ор😮						u	
			23	Мабуть дуже розігналися... 😁						u	
			24	Вiдeo яке зробило мій день))). Пpoпутiнcькa cпiвaчкa Вaлepiя виpiшилa пpoдoвжити флeшмoб “Пaтpiapxa Киpилa” тa впaлa нa cцeнi						u	
			25	(“Ворога з дня на день чекає “сюрприз” від ЗСУ! Всі ці вибухи на складах боєприпасів окупанта були не даремно! – Ждaнов передрiк змiну сuтуaцiї нa Донбaсi)						u	
			26	💥Постраждали щонайменше 5 областей.						u	
			27	Панел дискусија „Владеење на правото за економски раст во Северна Македонија“						xx	
			28	Головне, щоб dощ не пішов🤨🤪						u	
			29	У ніч на 12 квітня російські війська атакували ракетами інфраструктурний об'єкт на Хмельниччині. Пожежу ліквідували, жертв немає						u	
			30	36 таборів, які повертають дітям радість та спокій☺️ Раді анонсувати початок співпраці з благодійним фондом Sincere Heart Charitable Foundation у рамках програми «Психосоціальна підтримка дітей та їх опікунів». За нашої підтримки вже сьогодні відновлено роботу Recovery camp - одноденні безкоштовні табори емоційно-психологічної підтримки дітей і їх опікунів. 👉Коли і де? Табори відбуватимуться протягом трьох наступних місяців. Вони проходитимуть у Львові 3-4 рази на тиждень в дитячій зоні відпочинкового комплексу OTAMAN Resort. 👉Що буде? Щонайменше 2700 дітей та їх батьків отримають підтримку та покращення самопочуття за допомогою арт-терапії, рухливих ігор, роботи з психологами та спілкування з однолітками. Дорослі навчаться долати тривожні стани малечі та повернуть їй довіру до навколишнього світу. 👉Хто може долучитись? Кожен табір приймає від 70 до 100 учасників: • Діти та їх батьки з числа внутрішньо переміщених осіб. • Діти з прийомних сімей, дитячих будинків сімейного типу. • Діти-сироти, діти, позбавлені батьківського піклування. • Діти та їх батьки з родин у складних життєвих обставинах. • Діти та їх батьки з місцевих громад, які постраждали внаслідок військових дій. • Діти військовослужбовців. • Діти, які втратили батьків, піклувальників через війну. • Діти з інвалідністю. Участь можлива за попередньою реєстрацією, деталі на сторінці партнерів Sincere Heart Charitable Foundation. Щиро радіємо, що допомоги стає більше, щоб кожна дитина могла отримати необхідне емоційне розвантаження та позитивний заряд💙💛						u	
			31	Олімпійський день: у Чернівцях відбудеться масштабне спортивне свято						u	
			32	США удивлены, что в России допускают возможность смертной казни для пленных американцев						r	
			33	Вперше із 1918 року. У Росії стався дефолт за валютними борговими зобов’язаннями Більше тут https://bit.ly/3ywgEzk						u	
			34	Последний участник агентурной сети задержан❗						r	
			35	Синоптики попереджають про грозу та шквальний вітер завтра, 21 червня💨⛈						u	
			36	Файна молодь у Файному місті 😊 Студія соціальних танців у костюмах патріотичних кольорів виконує сальсу у Тернополі 🥰💙💛						u	
			37	🇲🇩 Президентка Молдови Майя Санду прибула з візитом в Україну Мабуть, ракетами росіяни вирішили привітати поважну гостю Наразі є загроза з території Білорусь. Лунають тривоги.						u	
			38	Если вы пропустили: Боевую работу HIMARS в Украине показал Генштаб (ВИДЕО)						r	
			39	Велика Британія готує план "депутінізації" світової економіки.						u	
			40	В Киев приехала президент Молдовы В ходе визита она посетит Бородянку, Бучу, Ирпень и встретится с президентом Украины Владимиром Зеленским Президент Молдовы Майя Санду в понедельник, 27 июня, прибыла в Киев, сообщает ее пресс-служба. "Президент Республики Молдова Майя Санду сегодня, 27 июня, находится с рабочим визитом в Киев. В течение дня глава государства посетит Бородянку, Бучу и Ирпень, встретится с президентом Украины Владимиром Зеленским", - сказано в сообщении.						r	
			41	Посмотреть милые фотографии Чаудера 😍😍😍						r	
			42	10 карет швидкої допомоги із Франції перетнули українсько-румунський кордон за спрощеною процедурою (ФОТО) Читайте більше про #закарпаття #виноградів #хуст #берегово #ужгород #мукачево #новини на Голосі Карпат! (свідоцтво держреєстрації ЗМІ КВ №403-265Р)						u	
			43	Ночь под звуки воздушной тревоги						r	
			44	С него се упълномощава МС да приеме предложението за преговорите с РСМ						xx	
			45	❗️У Лисичанську за добу зруйновано більше десяти багатоповерхівок, приватні будинки та будівля відділу поліції. Знайдено наразі тіло одного загиблого. Остаточну кількість жертв встановлюють, бо вчора по місту було неможливо безпечно пересуватись. Також серйозні руйнування у Гірському – пошкоджено 13 будинків, Новоіванівці – сім, у Врубівці зруйновано ліцей. У промзоні Сєвєродонецька продовжуються запеклі бої - росіяни влучили в будівлю і прохідну заводу "Азот", обстріляли територію цегляного заводу, почергово відкрили вогонь в районі трьох мостів, повідомляє Сергій Гайдай, голова Луганської ОВА.						u	
			46	Хтось воює а ,хтось гуляє.... Так і живемо						u	
			47	21:21 ⚡️⚡️⚡️ Офіційно відбій! Можемо вертатись по домівках. Сподіваємося, що ніч буде спокійною 🙏🏼						u	
			48	Генеральний прокурор США Меррік Гарланд, який також очолює Мін’юст країни, під час візиту до України у вівторок оголосив про створення групи з розслідування воєнних злочинів. --------------------------------------- Підписуйтеся на Telegram-канал "Politerno Full", отримуйте найважливіші і найсвіжіші політичні новини, інсайди та кадри з війни: https://t.me/politerno						u	
			49	У Вінниці проведуть щорічний фестиваль польової кухні Дату фестиваль не змінять, змінять тільки локацію: https://www.news.vn.ua/u-vinnytsi-provedut-shchorichnyy-festyval-polovoi-kukhni/						u	
			50	В Overwatch 2 зникнуть лутбокси https://playua.net/v-overwatch-2-znyknut-lutboksy/						u	
			51	🤬 Окупанти мають плани на створення своїх псевдореспублік на Півдні України на осінь. Ще глянемо, де ви будете до осені						u	
			52	🇺🇦Запоріжжя тримає культурний фронт України 🙏Полонне доєднується до Відкритого фестивалю української культури "Витоки". Участь у фестивалі приймають: 💙Народний аматорський фольклорний ансамбль "Красоля" Будинку культури Полонської міської ради ТГ 💛Зразковий аматорський вокальний ансамбль " Viva" Будинку культури Полонської міської ради ТГ Підтримуємо своїх✌️ https://youtu.be/QRgm0JL73hw						u	
			53	Саудия Арабистони бу гал кучлилик қилди. Финал, мухлисларга тўлган «Бунёдкор» ва тақдирлаш маросимидан фоторепортаж Мусобақа давомида ўзининг ҳаяжонли ўйинлари билан мухлислар меҳрини қозонган Темур Кападзе жамоасига финалда стадиондан туриб мухлислик қилишни истовчилар жуда кўп эди. Финалга бўлган қизиқиш кўламини ўйин олдидан чипталар савдосида кузатилган муаммолар, «Бунёдкор» кассалари олдида юзага келган турнақатор навбатлар ҳам кўрсатиб бериши мумкин. 👉https://kun.uz/45315313						xx	
			54	🕯Із сумом та жалем повідомляємо про загибель у бою з ворогом командира батальону 72 ОМБр майора Андрія Верхогляда. 💬 «Шляхетність та рішучість, сміливість та безмежна, неймовірна життєрадісність. Один з найкращих командирів, гордість бригади. Неможливо уявити Андрія за завісою земного життя. Серця нашої родини сповнені жалоби та люті. Торувати дальший шлях ми надалі будемо разом. Із тобою. Тільки ти тепер тримаєш над нами небо.» - 72 ОМБр. Вічна слава Вічна пам’ять						u	
			55	Переселенець з Лисичанська Дмитро Косілкін евакуював свій бізнес до Дніпра. На його швейній фабриці працювало 20 людей. З початком повномасштабного вторгнення РФ на територію України, Дмитро понад місяць ще залишався на Луганщині, займався волонтерством. Через активні бойові дії, довелося евакуюватися. Вивіз чоловік і своє виробництво.						u	
			56	Повітряна тривога - відбій (18:06 / 23.06)						u	
			57	История возвращения в Днепр						r	
			58	Олаф Шольц пообіцяв передати в Україну зброю❗️						u	
			59	#росія_держава_терорист #путін_воєнний_злочинець #russia_terrorist_state #putin_is_war_criminal						uplus	
			60	Разом із військовими та їхньою маленькою гостею бажаємо вам спокійного та затишного вечора! 🥰 Відео: tiktok/dimonzsu1?						u	
			61	Головнокомандувач ЗСУ Валерій Залужний показав, як наші хлопці працюють на гаубицях М777. "Окремі вітання і подяка від наших артилеристів американському народу за гаубиці М777. Мої хлопці знають ціну артилерії. Передусім вони хотіли передати, що це високоточна і дуже ефективна зброя. Разом до Перемоги!" https://24tv.ua/moyi-hloptsi-znayut-tsinu-artileriyi-zaluzhniy-podyakuvav-amerikantsyam_n1979034						u	
			62	«Ма, я буду пролітати над селом! Так, так! Над нашим. О такій годині. Ти вийди, я махну тобі крилом, Хоч так тебе побачу - з неба, з сині». І разом з матір‘ю пілота вийшли всі. Усе село здійняло очі вгору. І він летів. І сльози полились, Бо мати синові махала в небо з двору. І всі махали. Знали, що це ВІН. Бо кілька кіл зробив над них святенно. І всі молились, щоб він був живий. І матері вклонялися доземно. #вірю_в_Збройні_Сили_України #віршіВійни Автор невідомий Генеральний штаб ЗСУ / General Staff of the Armed Forces of Ukraine						u	
			63	Білий дім оголосив про нові санкції проти рф. Вони зачіпають найбільші російські телеканали, промисловий сектор рф, а також забороняють американцям надавати росіянам фінансові послуги #hromadske #новини #Україна #війна #росія						u	
			64	Полтавська міська рада проводить попередній запис ВПО для отримання продуктових наборів (з розрахунку один на родину). Увага! Запрошуємо до реєстрації ВПО, які проживають в гуртожитках, квартирах, приватних домоволодіннях на території м. Полтава і старостинських округів громади (окрім шкіл і дитячих садочків). Просимо Вас заповнити форму за посиланням https://forms.gle/vpVq1bSTmr79sZgLA або, якщо не маєте можливості внести дані самостійно, за телефоном 0800331787. Про час і місце видачі буде повідомлено додатково. Наші оператори Вам зателефонують і пояснять всі деталі.						u	
			65	Респектує навіть Люк Скайвокер 😎						u	
			66	«Укрпошта» з 28 червня запускає нову колекцію поштових марок, присвячених знищеному літаку «Мрія». Ескіз нової марки створила 11-річна Софія Кравчук з Волинської області. Окрім марок у продаж вийде тематичний конверт та листівка, тираж цієї колекції складе 3 мільйони #hromadske #новини #Україна #війна						u	
			67	Россия пригрозила Литве «действиями по защите своих национальных интересов», если Вильнюс не восстановит транзит грузов в Калининград Литва с 18 июня ограничила железнодорожный и наземный транзит в Россию через свою территорию. В санкционный список попали ряд товаров (от угля до цемента), а также парфюмерия, составляющие для авиации и космической области, передает BBC News. Во вторник в Калининград приехал глава Совбеза России Николай Патрушев, который сделал ряд громких заявлении. Так, по мнению чиновника, Литва действует с подачи Запада и нарушает нормы международного права. «На подобные враждебные действия Россия, безусловно, отреагирует. Соответствующие меры прорабатываются в межведомственном формате и будут приняты в ближайшее время. Их последствия окажут серьезное негативное влияние на население Литвы», – заявил он. Кроме этого, в МИД рассказали о мерах, которые будут приняты в случае, если Литва не восстановит транзит. «[…] если в ближайшее время грузовой транзит между Калининградской областью и остальной территорией РФ через Литву не будет восстановлен в полном объеме, то Россия оставляет за собой право на действия по защите своих национальных интересов», заявили в российском МИД. Посол ЕС в России Маркус Эдерер, которого во вторник утром вызвали в российский МИД, сказал, что Москва должна решать ситуацию дипломатическими путями. По его словам, транзит товаров, не попавших под санкции ЕС, продолжается. Источник: https://t.me/bbcrussian/30443						r	
			68	Є руйнування. Люди не постраждали						u	
			69	Монгол Улсын Ерөнхийлөгч Ухнаагийн Хүрэлсүхийн санаачилсан “Хүнсний хангамж, аюулгүй байдлын талаар авах зарим арга хэмжээний тухай” тогтоолын төслийг Улсын Их Хурлын чуулганы нэгдсэн хуралдаанаар хэлэлцэн баталлаа						xx	
			70	🤞🏻25 червня. Поліцейські Луганської області продовжують допомагати людям з евакуацією та гуманітарною допомогою🙏 🥺Ворог не зупиняється та нищить міста й мирне населення Луганщини, поліцейські документують військові злочини рф. 📌На Луганському напрямку росіяни обстрілюють всі вільні міста та селища з мінометів, артилерії та реактивних систем залпового вогню. Також працює ворожа авіація. 📌Протягом минулої доби поліцейські зареєстрували та задокументували 7 фактів обстрілів, в результаті яких знищено 2 будинки мирних мешканців області. Є поранених серед цивільних. 😡 📌До єдиного обліку поліцейські зареєстрували 154 повідомлення про вчинені правопорушення та інші не пов’язані з ними, події. З яких – 5 факти колабораційної діяльності громадян, які зайняли посади у незаконно створених окупаційних структурах, 2 факти мародерства, 10 фактів незаконного заволодіння транспортними засобами.😡 👮🏼‍♂️Поліція працює заради людей та миру 24/7. Все буде Україна!💙💛						u	
			71	Загальнонаціональна хвилина мовчання. Вшануймо пам'ять тих, хто віддав життя за Україну!						u	
			72	Ми цілодобово боремося на інформаційному фронті і не даємо ворогу найменших шансів. Через напад Росії ми втратили рекламу, а значить – фінансове забезпечення усіх наших редакційних бійців. ❗️ Ви можете допомогти тримати оборону разом з 24 каналом та підтримати нас: https://donate.24tv.ua/utm_source=facebook&utm_medium=donateMainPage&utm_campaign=donate_site&fbclid=IwAR3FIodt6SiVbEtsUp6rjPtgbMf61Gpsw2raSrbVzgCsqx37Dz-McdZWT4 Дякуємо кожному! Разом переможемо ✊						u	
			73	Депутатите се хванаха за гушите, провалиха пенсиите на над 2 милиона българи от						xx	
			74	Карта повітряних тривог ‼️: 🔴 20:33 Повітряна тривога в Арбузинська тергромада 🔴 20:33 Повітряна тривога в Черкаська область 🔴 20:33 Повітряна тривога в Полтавська область 🔴 20:33 Повітряна тривога в Запорізька область 🔴 20:33 Повітряна тривога в Кривоозерська тергромада 🔴 20:34 Повітряна тривога в Кіровоградська область 🔴 20:34 Повітряна тривога в Дніпропетровська область 🔴 20:37 Повітряна тривога в Миколаївська область Стежте за повідомленнями тривоги тут 👇 https://bit.ly/3lkNk7c						u	
